time,eventSourceType,eventSourceId,name,type,from,to,targetingType,matchType,targetingSecondary,campaignId,adGroupId,isSystemEvent,metadata
1778851723231,TARGETING_CLAUSE,A0344148BIXRJNVYRZ,"category=""3400741""",BID_AMOUNT,0.4,0.42,TARGETING_EXPRESSION,TARGETING_EXPRESSION,"category=""Camping Flatware""",A0444703YH2VJZW0TR4E,A0993817L2QVJ5PELOMF,false,"{""adGroupName"":""TU - Black | SB | VID | DP | Category"",""amsCampaignID"":null,""campaignName"":""TU - Black | SB | VID | DP | Category"",""programType"":""SB""}"
1778851723052,TARGETING_CLAUSE,A04539281UWXRRGLRGH5T,"asin=""B09BFZ2MM6""",BID_AMOUNT,0.33,0.36,TARGETING_EXPRESSION,TARGETING_EXPRESSION,"asin=""B09BFZ2MM6""",A09104693VQN8P0KYN8RZ,A03148271VX0M8GJB5S0L,false,"{""adGroupName"":""SB | PC | Store | PT 2"",""amsCampaignID"":null,""campaignName"":""SB | PC | Store | PT 2"",""programType"":""SB""}"
1778851722256,TARGETING_CLAUSE,A02545581F26R5ECM9XI7,travel fork knife and spoon,BID_AMOUNT,0.4,0.45,KEYWORD_EXACT,EXACT,,A0445847JWZAQHG6WXJY,A0114223149Q16U49BPTY,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Exact (8)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Exact (8)"",""programType"":""SB""}"
1778851722255,TARGETING_CLAUSE,A02547143TE2M38UK2W3E,travel fork and spoon set,BID_AMOUNT,0.4,0.45,KEYWORD_EXACT,EXACT,,A0445847JWZAQHG6WXJY,A0114223149Q16U49BPTY,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Exact (8)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Exact (8)"",""programType"":""SB""}"
1778851722254,TARGETING_CLAUSE,A025477010LASQK9RLEX0,travel cutlery set,BID_AMOUNT,0.4,0.45,KEYWORD_EXACT,EXACT,,A0445847JWZAQHG6WXJY,A0114223149Q16U49BPTY,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Exact (8)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Exact (8)"",""programType"":""SB""}"
1778851722253,TARGETING_CLAUSE,A02546141NJQX8MT88F6,travel cutlery set with case,BID_AMOUNT,0.4,0.45,KEYWORD_EXACT,EXACT,,A0445847JWZAQHG6WXJY,A0114223149Q16U49BPTY,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Exact (8)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Exact (8)"",""programType"":""SB""}"
1778851722070,TARGETING_CLAUSE,A02958223H7H81N8U33A5,packable silverware,BID_AMOUNT,0.35,0.32,KEYWORD_BROAD,BROAD,,A09241311NY6YZ9HF4PU1,A03513943TVP5PDNTLSCE,false,"{""adGroupName"":""TU - Silver | SB | VID | DP | Broad | Harvested | 1"",""amsCampaignID"":null,""campaignName"":""TU - Silver | SB | VID | DP | Broad | Harvested 13"",""programType"":""SB""}"
1778851721888,TARGETING_CLAUSE,A06269426H5ZYHO9S8BY,black silverware,BID_AMOUNT,0.33,0.37,KEYWORD_BROAD,BROAD,,A029649716HJX7O047GS5,A05075213T02QOOX987L0,false,"{""adGroupName"":""TU - Black | SB | VID | DP | Broad | Harvested 2"",""amsCampaignID"":null,""campaignName"":""TU - Black | SB | VID | DP | Broad | Harvested 2"",""programType"":""SB""}"
1778851721705,TARGETING_CLAUSE,A045153624TMGBLO9AT3U,lunch silverware,BID_AMOUNT,0.25,0.3,KEYWORD_BROAD,BROAD,,A00924733VXZC102ZVPXU,A0806300URNLHXRLX6LY,false,"{""adGroupName"":""TU - Black | SB | VID | DP | Broad | Harvested 4"",""amsCampaignID"":null,""campaignName"":""TU - Black | SB | VID | DP | Broad | Harvested 4"",""programType"":""SB""}"
1778851721407,TARGETING_CLAUSE,A04316471M1TE4MG90LSV,travel utensil kit,BID_AMOUNT,0.4,0.45,KEYWORD_EXACT,EXACT,,A05708613ES8XTR6P1HUV,A06830023NMG95CC7W5L4,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Exact (9)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Exact (9)"",""programType"":""SB""}"
1778851721407,TARGETING_CLAUSE,A04317153RV4G4A1TMVNW,travel utensil set,BID_AMOUNT,0.4,0.45,KEYWORD_EXACT,EXACT,,A05708613ES8XTR6P1HUV,A06830023NMG95CC7W5L4,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Exact (9)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Exact (9)"",""programType"":""SB""}"
1778851721406,TARGETING_CLAUSE,A04318032PNYC6VORSY1C,travel silverware set with case,BID_AMOUNT,0.4,0.45,KEYWORD_EXACT,EXACT,,A05708613ES8XTR6P1HUV,A06830023NMG95CC7W5L4,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Exact (9)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Exact (9)"",""programType"":""SB""}"
1778851721406,TARGETING_CLAUSE,A043195926M2Z8SH31NXN,travel fork spoon knife with case,BID_AMOUNT,0.4,0.45,KEYWORD_EXACT,EXACT,,A05708613ES8XTR6P1HUV,A06830023NMG95CC7W5L4,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Exact (9)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Exact (9)"",""programType"":""SB""}"
1778851721194,TARGETING_CLAUSE,A07631072DJEA8NGDOVW4,silverware travel set,BID_AMOUNT,0.38,0.37,KEYWORD_PHRASE,PHRASE,,A10023871QTPEFVGSKWFS,A05939701MKDAXF49USAK,false,"{""adGroupName"":""TU - Multi | SB | VID | DP | Phrase (20)"",""amsCampaignID"":null,""campaignName"":""TU - Multi | SB | VID | DP | Phrase (20)"",""programType"":""SB""}"
1778851721001,TARGETING_CLAUSE,A07679832OLKGEOVUVPTU,lunch box cutlery,BID_AMOUNT,0.31,0.36,KEYWORD_EXACT,EXACT,,A04715791W9K8NC09P00V,A0209280221VZSTTJIOOE,false,"{""adGroupName"":""TU - Silver | SB | VID | Kws | Exact | Harvested 2"",""amsCampaignID"":null,""campaignName"":""TU - Silver | SB | VID | DP | Exact | Harvested 3"",""programType"":""SB""}"
1778851720820,TARGETING_CLAUSE,A00944462NQN9V8E73ODW,utensil set for lunch box,BID_AMOUNT,0.42,0.38,KEYWORD_EXACT,EXACT,,A056420514924ARMEOW5S,A0822203FFRORGY4PAH6,false,"{""adGroupName"":""TU - Black | SB | VID | DP | Exact | Harvested | 2"",""amsCampaignID"":null,""campaignName"":""TU - Black | SB | VID | DP | Exact | Harvested 23"",""programType"":""SB""}"
1778851720637,TARGETING_CLAUSE,A0691237BGHAN0UQ95HR,travel utensil kit,BID_AMOUNT,0.36,0.3,KEYWORD_PHRASE,PHRASE,,A00173812EE7X4TDQJBKB,A08072753V5MSHSQATQJQ,false,"{""adGroupName"":""TU - Black | SB | VID | DP | Phrase | Harvested From Silver 4"",""amsCampaignID"":null,""campaignName"":""TU - Black | SB | VID | DP | Phrase | Harvested From Silver 4"",""programType"":""SB""}"
1778851720458,TARGETING_CLAUSE,A04907449T6PKEESUORF,lunchbox utensil set,BID_AMOUNT,0.36,0.4,KEYWORD_EXACT,EXACT,,A030412236591XFQ6ZAMS,A07546403QHWP55XKWQBC,false,"{""adGroupName"":""TU - Black | SB | VID | DP | Exact | Harvested | 1"",""amsCampaignID"":null,""campaignName"":""TU - Black | SB | VID | DP | Exact | Harvested 22"",""programType"":""SB""}"
1778851720400,TARGETING_CLAUSE,A08773002VZLGQPX9G0UZ,utensil travel set,BID_AMOUNT,0.4,0.45,KEYWORD_BROAD,BROAD,,A0877792NJ2LLKCLD7A,A05637313RCY41L9RIW0L,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Broad (11)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Broad (11)"",""programType"":""SB""}"
1778851720282,TARGETING_CLAUSE,A08772001VNMRS7WMSGFF,traveling silverware set,BID_AMOUNT,0.4,0.45,KEYWORD_BROAD,BROAD,,A0877792NJ2LLKCLD7A,A05637313RCY41L9RIW0L,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Broad (11)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Broad (11)"",""programType"":""SB""}"
1778851720092,TARGETING_CLAUSE,A030398914VQHYC9HN1OR,reusable fork spoon knife set for lunch,BID_AMOUNT,0.4,0.45,KEYWORD_EXACT,EXACT,,A065030037KWQ67TXJ5UM,A03722672JPBG9098700U,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Exact (5)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Exact (5)"",""programType"":""SB""}"
1778851720086,TARGETING_CLAUSE,A03038331GZMUK8LZ0AK4,reusable lunch utensils,BID_AMOUNT,0.4,0.45,KEYWORD_EXACT,EXACT,,A065030037KWQ67TXJ5UM,A03722672JPBG9098700U,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Exact (5)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Exact (5)"",""programType"":""SB""}"
1778851720084,TARGETING_CLAUSE,A0303677KBDFVSPTXJSM,reusable silverware for lunch adult,BID_AMOUNT,0.4,0.45,KEYWORD_EXACT,EXACT,,A065030037KWQ67TXJ5UM,A03722672JPBG9098700U,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Exact (5)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Exact (5)"",""programType"":""SB""}"
1778851720055,TARGETING_CLAUSE,A030388916URXRQ8MQ9SX,portable utensils set with case,BID_AMOUNT,0.4,0.45,KEYWORD_EXACT,EXACT,,A065030037KWQ67TXJ5UM,A03722672JPBG9098700U,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Exact (5)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Exact (5)"",""programType"":""SB""}"
1778851719891,TARGETING_CLAUSE,A0223890F0Q8JNAGCFUN,camping fork spoon knife set,BID_AMOUNT,0.4,0.45,KEYWORD_EXACT,EXACT,,A06384362HBAXIILFJEZD,A0571392F43D3WEP186C,false,"{""adGroupName"":""TU - BB - Black | SB | VID | DP | Exact"",""amsCampaignID"":null,""campaignName"":""TU - BB - Black | SB | VID | DP | Exact"",""programType"":""SB""}"
1778851719890,TARGETING_CLAUSE,A0223678M2BX1JI69YD4,lunch box for women,BID_AMOUNT,0.4,0.45,KEYWORD_EXACT,EXACT,,A06384362HBAXIILFJEZD,A0571392F43D3WEP186C,false,"{""adGroupName"":""TU - BB - Black | SB | VID | DP | Exact"",""amsCampaignID"":null,""campaignName"":""TU - BB - Black | SB | VID | DP | Exact"",""programType"":""SB""}"
1778851719890,TARGETING_CLAUSE,A02238343H7HA1I9ZKRDG,lunch bag utensils set,BID_AMOUNT,0.4,0.45,KEYWORD_EXACT,EXACT,,A06384362HBAXIILFJEZD,A0571392F43D3WEP186C,false,"{""adGroupName"":""TU - BB - Black | SB | VID | DP | Exact"",""amsCampaignID"":null,""campaignName"":""TU - BB - Black | SB | VID | DP | Exact"",""programType"":""SB""}"
1778851719890,TARGETING_CLAUSE,A022399030WZOFK4V8YQK,camping utensils set with case,BID_AMOUNT,0.4,0.45,KEYWORD_EXACT,EXACT,,A06384362HBAXIILFJEZD,A0571392F43D3WEP186C,false,"{""adGroupName"":""TU - BB - Black | SB | VID | DP | Exact"",""amsCampaignID"":null,""campaignName"":""TU - BB - Black | SB | VID | DP | Exact"",""programType"":""SB""}"
1778851719703,TARGETING_CLAUSE,A07821626DJPIX0OWMCG,lunch utensils,BID_AMOUNT,0.4,0.45,KEYWORD_PHRASE,PHRASE,,A051244128Y9S2GO4M9UG,A08346242LBHOHXCKFW71,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Phrase (1)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Phrase (1)"",""programType"":""SB""}"
1778851719703,TARGETING_CLAUSE,A07822862OB0WV0GUDRWP,lunch utensil set,BID_AMOUNT,0.4,0.45,KEYWORD_PHRASE,PHRASE,,A051244128Y9S2GO4M9UG,A08346242LBHOHXCKFW71,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Phrase (1)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Phrase (1)"",""programType"":""SB""}"
1778851719702,TARGETING_CLAUSE,A078200624629L9DYQ2KN,lunchbox silverware set,BID_AMOUNT,0.4,0.45,KEYWORD_PHRASE,PHRASE,,A051244128Y9S2GO4M9UG,A08346242LBHOHXCKFW71,false,"{""adGroupName"":""TU - BB - Silver | SB | VID | DP | Phrase (1)"",""amsCampaignID"":null,""campaignName"":""TU - BB - Silver | SB | VID | DP | Phrase (1)"",""programType"":""SB""}"
